Job,Company,Description,Link
Account Executive - Packaging Business (Pathum Thani),The Siam Cement Public Company Limited (SCG),"responsibilities:
สร้างยอดขายโดยกําหนดกลยุทธ์และวิเคราะห์รูปแบบบริการต่างๆ
คำนวนโครงสร้างต้นทุน
รักษาความสัมพันธ์กับลูกค้า
จัดหาและเสนอราคาแก่ลูกค้า
ปฏิบัติตามข้อกาหนด iso และงานอื่นๆที่ได้รับมอบหมาย",https://th.jobsdb.com/th/job/78439851
Commercial Engineer (New graduate are welcome),"Summit Auto Body Industry Co., Ltd.","job responsibilities:
contact and coordinate, receive information from customers in cad, dwg to make quotation submit to customer.
control the profit level of the items being produced.
internal coordination activities that customers come in, such as quality , delivery, va/ve.
organize a kick-off apqp team meeting to jointly examine and review capacity in creating tools with relevant parties.
design change follow up.
price adjustment.
kick off all activity.
build relation with customer.",https://th.jobsdb.com/th/job/78438214
Process Engineer,PPG Coatings (Malaysia) Sdn Bhd (Korn Ferry),"key responsibilities
you will develop new and improve existing manufacturing methods to increase efficiency and improve quality.
partner with technical team to ensure existing formulation are optimized to increase efficiency and reduce operation cost.
you will lead root cause investigations for manufacturing related issues both internally and in the field
oversee processes in detail and prepare the implementation plans to ensure the qualities are met
you will ensure consistent operating practices in production
you will implement the transition of new technology to make sure production continues without any hassles
improve the present manufacturing or production processes to boost productivity, quality, and profitability for a company
resolve day- to- day technical problem on the production line and ensure no issues from the designed production processes.
understand and utilize fmea’s as part of product design, process design and operations to drive standardization
support implementation of iatf 16949, iso9001, gmp-haccp, ohsas18001, iso14001 & ehs management system",https://th.jobsdb.com/th/job/78442612
Flight Operations Engineer - Cabin,Airbus Flight Operations Services Ltd.,"duties & responsibilities
this position is responsible for flight operations support activities including, but not limited to:
operational standards:
author relevant flight operations manuals according to the flight operational standards defined by stl
update relevant flight operations manuals according to aircraft definition, operational feedbacks and requests from the customers, authorities/agencies or internals
manage aircraft configuration to ensure coverage of individual aircraft definition in relevant flight operations manuals
operational support to customers:
ensure that all flight operations concerns and needs raised by the customers are well assessed and addressed within the defined time scale",https://th.jobsdb.com/th/job/78407705
Project Coordinator,"SI LABS CO., LTD.","responsibilities:
-handle company’s overall project-administration support and any related documents, for example, daily project-administrative duties, project purchasing, data entry, filing paperwork etc.
-assist to provide and design a solution to meet the needs of customers or tor (terms of reference), including receiving requirements from customers by continuously monitoring progress with customers.
-prepare compliance specification, tor, arrange make prototype demos, prepare budget proposal documents, proposal documents, etc. to support sales and project management, review and collect detailed specifications to be able to deliver on time according to customer needs.
-contact and submit applications and relevant documents with government authorities.
-assist in the development of presentations, visualization materials and other knowledge products and knowledge sharing activities, in both thai and english language.
-assist in the execution of project virtual and physical events such as trainings, workshops, meetings etc.
-perform any other task as assigned by manager or director.",https://th.jobsdb.com/th/job/78437697
Ordering Operation Staff (Cold chain and Bus A/C products),"Denso Sales (Thailand) Co., Ltd.","job description
management ordering situation for social solution dept (cold chain and bus air conditioner products) and communicate with sales team.
responsibility about ordering and delivery for market solution.
collaborate with warehouse's team (t-park warehouse) about delivery.
collaborate with production control dept. about incoming shipment and back order.
support all ms team about dgams and wos for any question or issue.
support sale/marketing activities.",https://th.jobsdb.com/th/job/78459865
Chemical Engineer,"Global Chemical Co., Ltd.","duties / responsibilities:
control production process to achieve targets for production volume, product ratings, production as per production program, and ensure trouble-free continuous operation of production process.
monitoring trouble-shooting & corrective actions to ensure consistent quality of products.
estimate and plan the purchase of raw materials by setting the delivery date in line with the production plan.
test run and trial chemical process innovation.
analyzes data, and designs solution to solve production process problem.
plan and set priorityto assign work forsubordinate.
making document as related duties.",https://th.jobsdb.com/th/job/78440730
Process Engineer (BTS Bearing),UTAC Thai Limited,"responsibilities :
co-operate with multiple department internal and external.
driven effectiveness per apqp to meet quality requirement.
manage team and production characteristic per requirement to meet business plan.
monitoring and follow up to meet product requirements.
effectiveness engineering report, qualification report in term of quality and flow.
drive and coordinate with internal team to complete activities per project plan.
effective product and process audit.
develops strategy to meet the established company goals and kpis.
participates in the selection of machine, material, tooling, process.
improve yield, control cycle time, aging lot and reduce lot on hold.
annual update qua/engineering reports into customers' system.
disposition the non-conformity product or in process quality issue that related to all process.
other duties as assigned",https://th.jobsdb.com/th/job/78438545
Process Engineer,"SGF (THAILAND) CO., LTD.",,https://th.jobsdb.com/th/job/78457404
AR Accountant (1-year Contract),Louis Vuitton (Thailand) S.A.,"job duties & responsibilities
checking and verifying ar transactions
reconciling the accounts receivable ledger to ensure that all payments are accounted for and properly posted
reconciling the transaction between sales report and bank statement including to the general ledger
coordinating with the sales department in all branches including to bank partner to ensure timely and accurate data is available for reconciliation of the ar transactions and bank transactions for preparation of daily and monthly ar reports
filing and maintaining ar records
preparing and consolidating the output tax reports to submit to the revenue department
issuing the sales tax invoices and sending them to clients
recording receipts by entering them into the accounting software (sap)
liaising with internal audit and external audit
assisting with month-end closing activities and ad hoc assignments
ensuring the compliance with company policies and procedures
collaborating with other departments to streamline processes and improve efficiency",https://th.jobsdb.com/th/job/78462397
